Wolf Population data from 1959-2019
20
22
22
23
20
26
28
26
22
22
17
18
20
23
24
31
41
44
34
40
43
50
30
14
23
24
22
20
16
12
12
15
12
12
13
17
16
22
24
14
25
29
19
17
19
29
30
30
21
23
24
19
16
9
8
9
3
2
2
2
15
